,Submitted Date,Year,Make,Model,County,ZIP,EV Type,Transaction Type,Reduction_CO2,Reduction_Petroleum,Rebate Amount (USD)
748,08/31/2017,2017,Chevrolet,Bolt,Rockland,10980,BEV,Lease,3.07,592.89,2000
749,05/24/2018,2018,Chevrolet,Bolt,Westchester,10566,BEV,Purchase,3.07,592.89,2000
750,08/23/2017,2017,Chevrolet,Bolt,Monroe,14618,BEV,Lease,3.07,592.89,2000
751,10/25/2017,2017,Chevrolet,Bolt,Monroe,14450,BEV,Lease,3.07,592.89,2000
752,06/02/2018,2018,Chevrolet,Bolt,Rensselaer,12018,BEV,Purchase,3.07,592.89,2000
753,06/14/2018,2018,Chevrolet,Bolt,Warren,12804,BEV,Purchase,3.07,592.89,2000
754,01/09/2018,2018,Chevrolet,Bolt,New York,10069,BEV,Purchase,3.07,592.89,2000
755,10/02/2017,2017,Chevrolet,Bolt,Washington,12816,BEV,Purchase,3.07,592.89,2000
756,01/15/2018,2018,Chevrolet,Bolt,Monroe,14580,BEV,Lease,3.07,592.89,2000
757,11/20/2017,2017,Chevrolet,Bolt,Westchester,10552,BEV,Lease,3.07,592.89,2000
758,11/20/2017,2017,Chevrolet,Bolt,Ontario,14564,BEV,Purchase,3.07,592.89,2000
759,09/13/2017,2017,Chevrolet,Bolt,Westchester,10520,BEV,Lease,3.07,592.89,2000
760,03/15/2018,2018,Chevrolet,Bolt,New York,10027,BEV,Purchase,3.07,592.89,2000
761,11/22/2017,2017,Chevrolet,Bolt,Monroe,14609,BEV,Purchase,3.07,592.89,2000
762,08/13/2018,2018,Chevrolet,Bolt,Suffolk,11725,BEV,Purchase,3.07,592.89,2000
763,10/28/2017,2017,Chevrolet,Bolt,Kings,11230,BEV,Purchase,3.07,592.89,2000
764,01/18/2018,2018,Chevrolet,Bolt,Ulster,12446,BEV,Purchase,3.07,592.89,2000
765,11/01/2017,2017,Chevrolet,Bolt,Monroe,14534,BEV,Lease,3.07,592.89,2000
766,11/30/2017,2017,Chevrolet,Bolt,Erie,14209,BEV,Purchase,3.07,592.89,2000
767,10/25/2017,2017,Chevrolet,Bolt,Westchester,10580,BEV,Purchase,3.07,592.89,2000
768,10/19/2017,2017,Chevrolet,Bolt,Monroe,14420,BEV,Purchase,3.07,592.89,2000
769,12/06/2017,2017,Chevrolet,Bolt,Broome,13903,BEV,Purchase,3.07,592.89,2000
770,11/28/2017,2017,Chevrolet,Bolt,Erie,14001,BEV,Lease,3.07,592.89,2000
771,11/16/2017,2017,Chevrolet,Bolt,Otsego,13820,BEV,Purchase,3.07,592.89,2000
772,11/15/2017,2017,Chevrolet,Bolt,Erie,14217,BEV,Lease,3.07,592.89,2000
773,02/05/2018,2018,Chevrolet,Bolt,Nassau,11803,BEV,Lease,3.07,592.89,2000
774,01/11/2018,2018,Chevrolet,Bolt,Monroe,14617,BEV,Purchase,3.07,592.89,2000
775,12/28/2017,2017,Chevrolet,Bolt,Monroe,14472,BEV,Lease,3.07,592.89,2000
776,12/22/2017,2017,Chevrolet,Bolt,Monroe,14450,BEV,Lease,3.07,592.89,2000
777,02/24/2018,2018,Chevrolet,Bolt,Dutchess,12590,BEV,Lease,3.07,592.89,2000
778,02/09/2018,2018,Chevrolet,Bolt,Orleans,14571,BEV,Lease,3.07,592.89,2000
779,03/01/2018,2018,Chevrolet,Bolt,Ulster,12498,BEV,Lease,3.07,592.89,2000
780,06/28/2018,2018,Chevrolet,Bolt,Niagara,14094,BEV,Lease,3.07,592.89,2000
781,05/31/2018,2018,Chevrolet,Bolt,Broome,13746,BEV,Purchase,3.07,592.89,2000
782,09/22/2018,2018,Chevrolet,Bolt,Tompkins,14817,BEV,Purchase,3.07,592.89,2000
783,05/08/2018,2018,Chevrolet,Bolt,Westchester,10533,BEV,Purchase,3.07,592.89,2000
784,07/03/2018,2018,Chevrolet,Bolt,Westchester,10502,BEV,Lease,3.07,592.89,2000
785,02/06/2019,2019,Chevrolet,Bolt,Columbia,12534,BEV,Lease,3.07,592.89,2000
786,08/02/2018,2018,Chevrolet,Bolt,Kings,11217,BEV,Lease,3.07,592.89,2000
787,07/17/2018,2018,Chevrolet,Bolt,Albany,12203,BEV,Purchase,3.07,592.89,2000
788,09/22/2018,2018,Chevrolet,Bolt,Tompkins,14882,BEV,Purchase,3.07,592.89,2000
789,08/07/2018,2018,Chevrolet,Bolt,Nassau,11803,BEV,Lease,3.07,592.89,2000
790,11/13/2018,2018,Chevrolet,Bolt,Queens,11360,BEV,Purchase,3.07,592.89,2000
